Kreis	Einw.	Fl. in km²
StädteRegion Aachen	557026	706,95
LK Ahrweiler	130086	786,98
LK Aichach-Friedberg	134655	780,33
LK Alb-Donau-Kreis	196047	1358,68
LK Altenburger Land	89393	569,41
LK Altenkirchen	128805	641,99
LK Altmarkkreis Salzwedel	83173	2293,03
LK Altötting	111516	569,35
LK Alzey-Worms	129687	588,15
LK Amberg-Sulzbach	103049	1255,75
LK Ammerland	124859	728,38
LK Anhalt-Bitterfeld	158486	1453,52
LK Ansbach	184591	1971,84
LK Aschaffenburg	174200	699,15
LK Augsburg	253468	1071,13
LK Aurich	189694	1287,31
LK Bad Dürkheim	132671	594,76
LK Bad Kissingen	103235	1136,96
LK Bad Kreuznach	158345	863,76
LK Bad Tölz-Wolfratshausen	127917	1110,69
LK Bamberg	147163	1167,83
LK Barnim	185244	1479,67
LK Bautzen	299758	2395,61
LK Bayreuth	103664	1273,74
LK Berchtesgadener Land	105929	839,92
LK Bergstraße	270340	719,52
LK Bernkastel-Wittlich	112483	1167,56
LK Biberach	199742	1409,74
LK Birkenfeld	80951	776,58
LK Böblingen	391640	617,82
LK Bodenseekreis	216227	664,81
LK Börde	170923	2366,63
LK Borken	371339	1420,98
LK Breisgau-Hochschwarzwald	262795	1378,34
LK Burgenlandkreis	178846	1413,67
LK Calw	158397	797,53
LK Celle	179011	1545,21
LK Cham	127998	1520,17
LK Cloppenburg	170682	1418,45
LK Coburg	86747	590,47
LK Cochem-Zell	61375	692,33
LK Coesfeld	220586	1112,04
LK Cuxhaven	198038	2057,78
LK Dachau	154899	579,18
LK Dahme-Spreewald	170791	2274,48
LK Darmstadt-Dieburg	297844	658,65
LK Deggendorf	119478	861,3
LK Diepholz	217089	1988,14
LK Dillingen a.d.Donau	96562	792,22
LK Dingolfing-Landau	96683	877,79
LK Dithmarschen	133193	1428,13
LK Donau-Ries	133783	1274,68
LK Donnersbergkreis	75325	645,52
LK Düren	264638	941,37
LK Ebersberg	143649	549,36
LK Eichsfeld	100006	943,07
LK Eichstätt	132881	1214,06
LK Bitburg-Prüm	99058	1626,22
LK Elbe-Elster	101827	1899,54
LK Emmendingen	165383	679,9
LK Emsland	326954	2882,07
LK Ennepe-Ruhr-Kreis	324106	409,64
LK Enzkreis	198905	573,68
LK Erding	138182	870,72
LK Erlangen-Höchstadt	137262	564,66
LK Erzgebirgskreis	334948	1827,91
LK Esslingen	533859	641,46
LK Euskirchen	193656	1248,73
LK Forchheim	116203	642,79
LK Freising	180007	799,83
LK Freudenstadt	117935	870,67
LK Freyung-Grafenau	78362	984,15
LK Friesland	98704	607,91
LK Fulda	223145	1380,4
LK Fürstenfeldbruck	219311	434,79
LK Fürth	117853	307,55
LK Garmisch-Partenkirchen	88424	1012,22
LK Germersheim	129013	463,35
LK Gießen	270688	854,67
LK Gifhorn	176523	1562,86
LK Göppingen	257253	642,36
LK Görlitz	252725	2111,41
LK Goslar	136292	965,29
LK Gotha	134908	936,08
LK Göttingen	326041	1753,41
LK Grafschaft Bentheim	137162	980,87
LK Greiz	97398	845,97
LK Groß-Gerau	275726	453,04
LK Günzburg	127027	762,44
LK Gütersloh	364938	969,21
LK Hameln-Pyrmont	148549	796,15
Region Hannover	1157115	2290,86
LK Harburg	254431	1245,03
LK Harz	213310	2104,54
LK Haßberge	84384	956,38
LK Havelland	162996	1727,3
LK Heidekreis	140673	1873,72
LK Heidenheim	132472	627,14
LK Heilbronn	343068	1099,9
LK Heinsberg	255555	627,99
LK Helmstedt	91297	674,02
LK Herford	250578	450,41
LK Hersfeld-Rotenburg	120719	1097,12
LK Herzogtum Lauenburg	198019	1263,01
LK Hildburghausen	63197	938,42
LK Hildesheim	275817	1206,03
LK Hochsauerlandkreis	259777	1960,17
LK Hochtaunuskreis	236914	482,02
LK Hof	94801	892,52
LK Hohenlohekreis	112010	776,78
LK Holzminden	70458	692,65
LK Höxter	140251	1201,42
LK Ilm-Kreis	106249	805,11
LK Jerichower Land	89589	1576,84
LK Kaiserslautern	105979	639,88
LK Karlsruhe	444232	1084,96
LK Kassel	236764	1292,92
LK Kelheim	123058	1065,97
LK Kitzingen	91155	684,19
LK Kleve	312465	1232,99
LK Konstanz	285325	817,97
LK Kronach	66743	651,53
LK Kulmbach	71566	658,34
LK Kusel	70219	573,28
LK Kyffhäuserkreis	74212	1037,91
LK Lahn-Dill-Kreis	253319	1066,52
LK Landsberg a.Lech	120302	804,38
LK Landshut	159895	1347,89
LK Leer	170756	1086,01
LK Leipzig	258139	1651,3
LK Lichtenfels	66776	519,95
LK Limburg-Weilburg	171912	738,48
LK Lindau	81981	323,44
LK Lippe	347514	1246,21
LK Lörrach	228639	806,76
LK Lüchow-Dannenberg	48412	1220,75
LK Ludwigsburg	543984	686,84
LK Ludwigslust-Parchim	211779	4752,44
LK Lüneburg	184139	1323,68
LK Main-Kinzig-Kreis	420552	1397,55
LK Main-Spessart	126158	1321,42
LK Main-Tauber-Kreis	132321	1304,4
LK Main-Taunus-Kreis	238558	222,39
LK Mainz-Bingen	211417	605,77
LK Mansfeld-Südharz	134942	1448,84
LK Marburg-Biedenkopf	247084	1262,55
LK Märkischer Kreis	410222	1061,06
